theme,location,duration,startDate,startTime,endDate,endTime,img src,link,organizer,tags
Podcast推廣活動,線上,2023.10.27 (五) 00:00 - 2024.07.01 (一) 00:00,2023-10-27,00:00,2024-07-01,00:00,https://static.accupass.com/eventbanner/2310271615396111500760_P520x260.jpg,https://www.accupass.com/event/2310271619161237687720?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,鳥事一籮筐,"['有趣', '鳥事', '喜劇', 'podcast', '好笑']"
【卡米地笑星孵化學院】最初10堂星期日的站立喜劇課：Social 喜劇工作坊-2023秋季班第一/二階段,台北,2023.10.29 (日) 14:30 - 2024.01.14 (日) 17:30,2023-10-29,14:30,2024-01-14,17:30,https://static.accupass.com/eventbanner/2309120816031911674183_P520x260.jpg,https://www.accupass.com/event/2309120734041095774366?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,live comedy club taipei 卡米地喜劇俱樂部,"['站立喜劇', '卡米地喜劇俱樂部', 'covid-free', '脫口秀']"
喜劇開港脫口秀open mic (十二月場）,高雄,2023.12.01 (五) 20:00 - 12.29 (五) 22:00,2023-12-01,20:00,2023-12-29,22:00,https://static.accupass.com/eventbanner/2311271822262114321164_P520x260.jpg,https://www.accupass.com/event/2311250627177943451650?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,喜劇開港,"['covid-free', '高雄', '笑話', '脫口秀', '＃喜劇', '＃娛樂']"
Yes And 開放團練 12/19(二)、12/29(五)年末加開場 - 玩表演、練即興、別準備、來就對~ ｜ 台北最Easy的即興喜劇入門派對,台北,2023.12.05 (二) 19:30 - 12.29 (五) 21:30,2023-12-05,19:30,2023-12-29,21:30,https://static.accupass.com/eventbanner/2312061553451333223559_P520x260.jpg,https://www.accupass.com/event/2311250056312015620341?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,迷鹿即興排練場,"['派對.單身聯誼.', '即興', '迷鹿即興', '表演', '戲劇']"
2023｜十二月｜星期四 老鳥試段子｜單口喜劇 Open Mic,台北,2023.12.07 (四) 20:00 - 12.28 (四) 21:10,2023-12-07,20:00,2023-12-28,21:10,https://static.accupass.com/eventbanner/2309270840029369193420_P520x260.jpg,https://www.accupass.com/event/2311290959003587054020?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,two three comedy,"['單口喜劇', '美式喜劇', '脫口秀', '精釀啤酒']"
來福OPEN MIC 12月,台中,2023.12.07 (四) 19:30 - 12.28 (四) 21:30,2023-12-07,19:30,2023-12-28,21:30,https://static.accupass.com/eventbanner/2312051526374214440400_P520x260.jpg,https://www.accupass.com/event/2312051529161763346917?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,來福好事,"['台中現場喜劇', '現場喜劇', '台中脫口秀', '台中openmic', '台中單口喜劇']"
府城喜劇open mic | 中文單口喜劇、漫才 Open Mic、即興劇表演 | 十二月場,台南,2023.12.09 (六) 08:00 - 12.23 (六) 22:00,2023-12-09,08:00,2023-12-23,22:00,https://static.accupass.com/eventbanner/2311241011282621487490_P520x260.jpg,https://www.accupass.com/event/2311181439241435062685?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,府城喜劇,['covid-free']
爺奶萬萬說-銀髮素人脫口秀 台北場,台北,2023.12.15 (五) 19:00 - 12.17 (日) 16:30,2023-12-15,19:00,2023-12-17,16:30,https://static.accupass.com/eventbanner/2310120145441135104465_P520x260.jpg,https://www.accupass.com/event/2309110257163483030140?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,弘道老人福利基金會,"['單口喜劇', '免費', 'covid-free', '脫口秀', '演出', '台北']"
玩樂竹弋之快樂最重要,台北,2023.12.16 (六) 20:00 - 21:15,2023-12-16,20:00,2023-12-16,21:15,https://static.accupass.com/eventbanner/2309221409516319067490_P520x260.jpg,https://www.accupass.com/event/2309221413311867846243?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,3 cafe studio,"['即興', '短劇', '漫才', '笑料', '快樂']"
12月最後兩場 魔術X解謎X即興【古代魔術師的口袋秘密】,台北,2023.12.16 (六) 19:30 - 12.23 (六) 20:40,2023-12-16,19:30,2023-12-23,20:40,https://static.accupass.com/eventbanner/2312081836133468827370_P520x260.jpg,https://www.accupass.com/event/2311261713231468274865?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,原色魔術劇場,"['沉浸式體驗', '魔術', '表演', '喜劇', '聊天']"
